이름,주소,운영 시간,평점,이미지 주소,SNS 링크,주차 정보,리뷰1,리뷰2,리뷰3,경치가 좋은,넓은,사람 많은,인테리어 예쁜,사진찍기 좋은,조용한
서류,대구 중구 달성로 118 1층 카페서류,"곧 영업 종료 19:00에 영업 종료 19시 0분에 영업 종료, 월 07:00 - 19:00 18:30 라스트오더, 화 07:00 - 19:00 18:30 라스트오더, 수 07:00 - 19:00 18:30 라스트오더, 목 07:00 - 19:00 18:30 라스트오더, 금 07:00 - 19:00 18:30 라스트오더, 토 09:00 - 22:00 21:30 라스트오더, 일 정기휴무 (매주 일요일) 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231106_19%2F16992035955844F6Fs_JPEG%2F1698712657806.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_21%2F1699765514418jYI15_JPEG%2F1000006956.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_281%2F1699765514152KiyRl_JPEG%2F1000006957.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_62%2F1699765514351Cqv52_JPEG%2F1000006867.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231115_117%2F1700014262061yvX45_JPEG%2Ftemp_file.jpg""","""http://xn--9v2b15l12lo4e.com/, https://www.instagram.com/cafe_seoryu""","주차 불가, 주차장 정보 없음",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,0,0,0,72,0,0
남산동커피,대구 중구 명륜로23길 105 1층,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 월 08:00 - 20:00, 화 08:00 - 20:00, 수 08:00 - 20:00, 목 08:00 - 20:00, 금 08:00 - 20:00, 토 08:00 - 19:00, 일 정기휴무 (매주 일요일) 접기",4.62,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240807_26%2F17230334099237vcBh_JPEG%2F1722912316401.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240807_113%2F1723033513574b35CJ_JPEG%2F1711707454195.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240807_59%2F1723033409944TmjLm_JPEG%2F1722912328131.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240807_225%2F1723033513500oj0KW_JPEG%2F1722912332381.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240807_102%2F1723033513584jiDFL_JPEG%2F20240502_155555.jpg""","""https://xn--100--er5pp93d0icp2n2ic5uttwbs3h6zmqsjc2olyj4na.com/, https://www.instagram.com/namsandong_coffee""","주차 불가, 주차장 정보 없음",커피가 맛있어요,친절해요,음료가 맛있어요,0,0,0,0,0,0
부루잉커피바,대구 중구 명륜로23길 83 1층,"영업 중 21:30에 라스트오더 21시 30분에 라스트오더, 월 14:00 - 22:00 21:30 라스트오더, 화 14:00 - 22:00 21:30 라스트오더, 수 정기휴무 (매주 수요일), 목 14:00 - 22:00 21:30 라스트오더, 금 14:00 - 22:00 21:30 라스트오더, 토 14:00 - 22:00 21:30 라스트오더, 일 14:00 - 22:00 21:30 라스트오더, - 외부컨설팅과 교육으로 당분간 쉬어갑니다!! 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230528_266%2F1685284481239h46eS_JPEG%2F1685284446608.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230528_42%2F1685284469719IhmvA_JPEG%2F1685284452028.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230528_236%2F1685284495454OznzW_JPEG%2F1685284433167.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230212_205%2F1676138057620BPHT3_JPEG%2F20230211_223847.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MDJfMjA3%2FMDAxNjgwNDQ1OTgxNjE0.7PKCiNHr8gHPDpU6RZvIs588hj2UieKzbmZc_zHEd9sg.DhWrvtOHk_C7jf3Nv4-pXvN_cz6sViPUZGQrMCZ20-wg.JPEG%2F3BEF3D8A-D4F2-452F-A575-D7D5B7D1F584.jpeg""","""https://www.instagram.com/brewing_somyeong""","주차 불가, 인근 유료주차장이 있습니다!",커피가 맛있어요,친절해요,특별한 메뉴가 있어요,0,0,0,0,0,0
구르미베이킹스튜디오,대구 북구 칠성남로 121 3층,운영 시간 정보 없음,평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231116_83%2F1700108220819nYpJo_JPEG%2FIMG_1118.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240320_147%2F1710943292628W6xAh_JPEG%2FIMG_4030.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240320_10%2F1710943402790yU68k_JPEG%2FIMG_2620.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240320_44%2F1710943402179LNXM6_JPEG%2FB02B6868-1EB5-40F4-8250-AD59C5A63577.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240320_250%2F1710943292982w142C_JPEG%2FIMG_4923.jpeg""","""https://www.instagram.com/gurmi_baking""","주차가능 무료, 건물 지하주차장 이용가능",친절해요,인테리어가 멋져요,빵이 맛있어요,0,0,0,54,0,0
카페 러브모드,대구 중구 경상감영길 32 1층(서문로1가),"오늘 휴무 매주 월요일 휴무 매주 월요일 휴무, 월 정기휴무 (매주 월요일), 화 11:30 - 20:00 19:00 라스트오더, 수 11:30 - 20:00 19:00 라스트오더, 목 11:30 - 20:00 19:00 라스트오더, 금 11:30 - 20:00 19:00 라스트오더, 토 12:00 - 20:00 19:00 라스트오더, 일 12:00 - 20:00 19:00 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_249%2F1692613015525Plro0_JPEG%2FKakaoTalk_20230821_191142205_01.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_266%2F1692613016160NLdR5_JPEG%2FKakaoTalk_20230821_191142205_02.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_171%2F1692613015678wpCdT_JPEG%2FKakaoTalk_20230821_191142205_05.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_85%2F1692613015777Y4kTV_JPEG%2FKakaoTalk_20230821_191142205_03.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_270%2F1692613015596DnKu3_JPEG%2FKakaoTalk_20230821_191142205_04.jpg""","""https://www.instagram.com/cafe_lovemode_hbd""","주차가능 유료, 포장 및 주최분들의 짐을 싣고 내리기 위한 주차는 가능하지만 오랫동안 머무르실 경우 주변의 다른 주차공간을 사용 부탁드립니다.",인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,0,0,0,46,29,0
베미해,대구 중구 남산로 73 상가 301동 110호,"영업 종료 08:00에 영업 시작 8시 0분에 영업 시작, 월 08:00 - 18:30, 화 08:00 - 18:30, 수 정기휴무 (매주 수요일), 목 08:00 - 18:30, 금 08:00 - 18:30, 토 08:00 - 17:00, 일 정기휴무 (매주 일요일) 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230406_89%2F1680743063175BGGza_JPEG%2FBake_me_Happy_%25B7%25CE%25B0%25ED%25281%2529_image%25282%2529.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230412_273%2F1681268357427Bwgfc_JPEG%2F398769E4-DC4F-4EF2-BC1B-241B98E0311A.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230412_161%2F1681268354259wiTYX_JPEG%2F300BF3EB-0ECC-40D1-8D93-D25393D1FAB1.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230412_213%2F1681268357611xxvGX_JPEG%2FE899604F-0F02-44B7-B482-FC295602AB56.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MDFfMTA1%2FMDAxNjg4MTY4NjYwNzkx.guZjSIYmB4TeJa54RfN7STKQHUmcgDqTXazEFSD8Q1wg.42fp2kMMHxk_pxUtbAYqVYRzZ_X6Pr7ERdHpEO7MrTkg.JPEG%2F8A09ECDE-28FA-4467-8A01-BDAF84E15B82.jpeg""","""https://smartstore.naver.com/bmhbakery, https://www.instagram.com/bmhbakery""","주차가능 무료, 주차장 정보 없음",빵이 맛있어요,친절해요,매장이 청결해요,0,0,0,0,0,0
적두병,대구 중구 달성공원로8길 10 달성빌딩,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 08:00 - 22:00 접기",3.82,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_249%2F1441022169462yDQO0_JPEG%2F11696297_1.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190424_120%2F1556082302468mRqAi_JPEG%2F-Zcu6Jls_gJUiNGr08usXOun.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200625_50%2F15930499145361fDmW_JPEG%2Fh90aVctexAiCVKDKtWmsTVo3.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200707_82%2F1594125993838yUcqP_JPEG%2Fh33KFxM3zc3jrqtoXciAOyj2.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MjFfMjcy%2FMDAxNjg0NjM0OTA5Nzkx.AX-5IMmJYQOR_lScEibi1RVmZbhFFisOnDpgjyiMgo0g.VbvRf16Tjs9TwkDehfxFTilGdGZ2y26oJ6rwfm3MuxUg.JPEG%2F20230324_143013.jpg""",링크 없음,알 수 없음,빵이 맛있어요,커피가 맛있어요,가성비가 좋아요,0,0,0,0,0,0
멤피스커피,대구 북구 칠성남로15길 9-1 2층,"오늘 휴무 매주 월요일 휴무 매주 월요일 휴무, 월 정기휴무 (매주 월요일), 화 정기휴무 (매주 화요일), 수 정기휴무 (매주 수요일), 목 정기휴무 (매주 목요일), 금 20:00 - 20:05, 토 정기휴무 (매주 토요일), 일 정기휴무 (매주 일요일) 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_284%2F1693990144289s8mNK_JPEG%2F8F8B78F6-EA08-4AF6-822A-88ED08DF4508.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_135%2F1693990144037NjeAx_JPEG%2FE14164F7-66C2-4AC1-A300-B8B971E9508F.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_111%2F1693990144626UNHPf_JPEG%2F19E2A32F-9E46-41B0-B231-C1946B784A61.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_85%2F1693990144437cblmM_JPEG%2F56773FD7-C273-4553-A9B1-C1B753D8E590.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_27%2F16939901442636KRmq_JPEG%2F34B9516D-25D9-4A2D-8AF0-3298F894785F.jpeg""",링크 없음,알 수 없음,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,0,0,0,70,38,0
카페 블레싱,대구 중구 국채보상로93길 9 1층 카페 블레싱,"영업 중 20:30에 라스트오더 20시 30분에 라스트오더, 월 10:00 - 21:00 20:30 라스트오더, 화 10:00 - 21:00 20:30 라스트오더, 수 10:00 - 21:00 20:30 라스트오더, 목 10:00 - 21:00 20:30 라스트오더, 금 10:00 - 21:00 20:30 라스트오더, 토 10:00 - 21:00 20:30 라스트오더, 일 09:00 - 17:00 16:30 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_74%2F1706261273617QvSAB_JPEG%2FIMG_4874.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_299%2F1706261273136z7o2a_JPEG%2FIMG_4876.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_166%2F1706261274443QVdG1_JPEG%2FIMG_4877.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_13%2F17062612740259xyDb_JPEG%2FIMG_4881.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_215%2F1706261274364S8qiQ_JPEG%2FIMG_4882.jpeg""",링크 없음,"주차가능 무료, 주차장 정보 없음",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,0,0,0,0,0,0
투썸플레이스 대구반월당점,대구 중구 달구벌대로 2068 1층 투썸플레이스,"영업 중 23:00에 영업 종료 23시 0분에 영업 종료, 매일 09:00 - 23:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220627_88%2F1656303236625V4FvY_JPEG%2F1652164577810.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDlfODEg%2FMDAxNjc1OTM4ODE4OTA3.vj-5bYWLxW2j1FJDHZu0ILhkBIdVlGHj2DVLQz5mDSgg.7ts0yu_9_ydlWqOSiwM1QCZkUOQaTqUp8cUcV8DCd8Mg.JPEG%2F20230207_135537.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjEyMjVfMTIx%2FMDAxNjcxOTQ5MTU4NjE5.a8Mfzcw8KPKzQH3WUHYVRlVbo4H9VIFgeOiYF2ZYr_8g.VbLGbPHSLI89Da6q4q3g48UHnuSP6fglALDhruWOY_sg.JPEG%2Fimage.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzExMDJfMTUx%2FMDAxNjk4OTE3MzM5NzE2.mCEqOQC2eaQBRduBNhvSVS3qP9o_c5gZtsf9cSzn0Gog.gNsctuVx8hlO9xabJ9ysMPyMpEWlga0BPil0zKdG1s4g.JPEG%2F20231031_162319-01.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjEyMjhfMTI2%2FMDAxNjcyMjA2MDQzMjMy.ilQubMCJQOUIMdPYVozJ_Q-9aVhNCeHs3bnocQfgMnEg.wirMFQff8uKBgNSyF96tLiQhMSGhyq8hFQdhYEw2q7cg.JPEG%2F20221225_115028.jpg""",링크 없음,"주차가능, 주차장 정보 없음",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,0,0,0,0,0,0
화이트리에 청라언덕점,대구 중구 달구벌대로 1943 상가 101동 103호,"오늘 휴무 11/04 휴무 11/04 휴무, 월(11/4) 휴무, 화(11/5) 휴무, 수(11/6) 휴무, 목(11/7) 휴무, 금 09:00 - 21:00 13:00 - 14:00 브레이크타임, 토 09:00 - 21:00 13:00 - 14:00 브레이크타임, 일 09:00 - 21:00 13:00 - 14:00 브레이크타임, - 재료소진 시 조기마감. (오후4시 이후 통화 후 방문) 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_95%2F1730363036176q5FT5_JPEG%2FIMG_3374.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_269%2F1730363036238VFHUw_JPEG%2FIMG_3375.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_156%2F17303630362185PLem_JPEG%2FIMG_3376.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_235%2F1730363036310Da7R7_JPEG%2FIMG_3382.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_269%2F17303630362005Wep6_JPEG%2FIMG_3377.jpeg""",링크 없음,"주차가능 무료, - 상가주차장 이용가능 - 대로변 10분주정차 가능.",,,,0,0,0,0,0,0
혜민웨이커피,대구 중구 북성로 86-5 2층 상가3호 혜민웨이커피,"영업 종료 11:00에 영업 시작 11시 0분에 영업 시작, 월 11:00 - 16:00, 화 11:00 - 16:00, 수 11:00 - 16:00, 목 11:00 - 16:00, 금 11:00 - 16:00, 토 정기휴무 (매주 토요일), 일 정기휴무 (매주 일요일), - 예약 <예약전 공지사항 꼭 확인 필수 > 접기",4.9,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240821_117%2F17241752999331dXB0_PNG%2F%25C4%25BF%25C7%25C7%25B8%25DE.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240821_63%2F1724175300079oVACc_JPEG%2F%25B4%25E4%25B7%25CA%25C7%25B0%25B1%25E2%25B3%25E4%25C7%25B0.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240821_169%2F1724175300225XxDN1_PNG%2F1%25C0%25A7_%25C6%25C4%25B3%25AA%25B8%25B6_%25B5%25A5%25BA%25B8%25B6%25F3_%25C0%25CF%25B8%25B3%25BD%25BA_%25B0%25D4%25C0%25CC%25BB%25FE_%25B3%25BB%25C3%25DF%25B7%25B2.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240821_31%2F17241753004135opWw_PNG%2F%25BF%25A1%25C6%25BC%25BF%25C0%25C7%25C7%25BE%25C6_2024_AFCA_%25B3%25BB%25BC%25C5%25B3%25CE_6%25C0%25A7_%25B0%25D4%25BB%25FE_G1_%25BF%25F6%25BD%25C3%25B5%25E5.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240821_290%2F17241753005818EAHo_JPEG%2FKakaoTalk_20240809_021532020_15.jpg""","""https://hyemincoffee.modoo.at/""",알 수 없음,커피가 맛있어요,친절해요,디저트가 맛있어요,0,0,0,0,0,0
휴엘 커피 스테이션,대구 중구 국채보상로101길 41 102호,"오늘 휴무 매주 월요일 휴무 매주 월요일 휴무, 월 정기휴무 (매주 월요일), 화 12:00 - 24:00 23:00 라스트오더, 수 12:00 - 24:00 23:00 라스트오더, 목 12:00 - 24:00 23:00 라스트오더, 금 12:00 - 24:00 23:00 라스트오더, 토 12:00 - 24:00 23:00 라스트오더, 일 12:00 - 18:00 17:00 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240316_28%2F1710563597655RomOv_JPEG%2FIMG_3965.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240614_85%2F1718344704339JuEle_JPEG%2FIMG_0847.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240614_201%2F1718344703776JQBMQ_JPEG%2FIMG_0113.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240614_167%2F17183447597921M6V0_JPEG%2FIMG_0119.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240614_139%2F1718344759752HOkd5_JPEG%2FIMG_0636.jpeg""",링크 없음,"주차가능 무료, 월-토 오후 6-7시 이후로 주차가 자유롭습니다. 일요일은 주차공간이 매우 많습니다.",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,0,0,0,28,12,0
빽다방 대구반월당현대점,대구 중구 달구벌대로 2081-22,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 월 08:00 - 20:00, 화 08:00 - 20:00, 수 08:00 - 20:00, 목 08:00 - 20:00, 금 08:00 - 20:00, 토 08:00 - 21:00, 일 08:00 - 21:00 접기",4.35,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_74%2F1452250131041Dt0fx_PNG%2F176058597869785_0.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_7%2F1452250131144tc9gt_JPEG%2F176058597869785_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200319_232%2F15846231163413FASp_JPEG%2FiFNFaFHtd4nCHbAjHNEjTKb6.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_88%2F15923774832985zkOr_JPEG%2FUOHzD7tMqZbZvCG4uMUUvi0r.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMDhfMTY1%2FMDAxNjczMTc1MDYyNzk3.oxrQssxvWQ49fJZy8lYvzkMXzthKUDLZanMaYdAuitkg.RiSGbM2Jr6h9qNEH8Gr9gPJRtLXzd89ZyPADusil6OYg.JPEG%2Fimage.jpg""",링크 없음,알 수 없음,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,13,2,0,29,17,19
아무하플라워카페 현대백화점 대구점,대구 중구 달구벌대로 2077 4층,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 월 10:30 - 20:00, 화 10:30 - 20:00, 수 10:30 - 20:00, 목 10:30 - 20:00, 금 10:30 - 20:00, 토 10:30 - 20:30, 일 10:30 - 20:30, - 백화점 휴점일과 동일 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_243%2F1599142330332Xxjnj_JPEG%2Fu3Ap2dtq803V7F6nziXz5Zad.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_23%2F1599142335467VG5Oz_JPEG%2FWru7zoR8PnPEvC6MyYcWRty2.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_188%2F1599142341163iQY5x_JPEG%2FC3t0dR18tHt230D7eUd70n5U.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_202%2F1599142346704W7nP1_JPEG%2F8GdPEsTfbMCO2vHhT97kG4q3.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_178%2F15991423572762x5Kt_JPEG%2FPiGm20oZqDtDOJplFtSx7DC0.jpeg.jpg""",링크 없음,"주차가능, 주차장 정보 없음",커피가 맛있어요,인테리어가 멋져요,친절해요,0,1,0,13,3,1
빵다무르 더현대 대구점,대구 중구 달구벌대로 2077 더현대대구 지하1층,"영업 중 20:30에 영업 종료 20시 30분에 영업 종료, 매일 10:30 - 20:30, - 백화점에서 영업하는 관계로 백화점 휴무일과 동일합니다. 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_282%2F1725598875043lxJKq_PNG%2F1000010342.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_275%2F1725598536491sdf2X_JPEG%2Ftemp_picture.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_112%2F1725598522527BKMAz_JPEG%2Ftemp_picture.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_104%2F1725598409590OsAs3_JPEG%2Ftemp_picture.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_63%2F1725598511316J7diw_JPEG%2Ftemp_picture.jpg""",링크 없음,"주차가능 무료, 주차장 정보 없음",,,,0,0,0,0,0,0
